id;title;subject;content;mail_template_type;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;acknowledge worth;thunderbolt kinase;enthusiastically;ALERT;2025-12-16T01:26:18;2025-12-15T16:40:43;usefully;frightfully order;2025-12-15T09:54:35
2;well-worn snow radiant;failing subtle extension;ick apropos;ALERT;2025-12-15T11:23:59;2025-12-16T06:16:52;someplace;gee aside neatly;2025-12-16T03:21:54
3;crossly eek compassionate;fixed beyond carelessly;basket;NOTIFICATION;2025-12-15T08:08:49;2025-12-16T03:18:50;woot arrange;swathe abnormally colorfully;2025-12-15T23:52:02
4;peninsula quizzically sweetly;appertain brood;drat excitable;NEWSLETTER;2025-12-16T03:24:04;2025-12-15T17:25:31;till;frightfully;2025-12-15T19:26:58
5;entomb while;zowie;bludgeon toward striking;PROMOTION;2025-12-15T14:51:27;2025-12-16T03:22:45;slimy across candid;yowza save colossal;2025-12-15T10:17:29
6;reluctantly;unexpectedly off;nor question;NEWSLETTER;2025-12-15T13:15:35;2025-12-15T17:01:26;urgently who;softly painfully;2025-12-15T13:24:09
7;front;blah;formal smoke;NEWSLETTER;2025-12-15T17:02:12;2025-12-15T15:16:35;bashfully pfft;segregate;2025-12-15T17:39:34
8;haircut along;lyre weighty uselessly;trouser;PROMOTION;2025-12-15T18:41:58;2025-12-15T23:36:28;soulful;alligator so an;2025-12-16T00:33:03
9;farmer wherever considerate;wherever authentic;violently;NEWSLETTER;2025-12-16T00:21:15;2025-12-15T07:29:03;fooey pull;despite;2025-12-16T03:46:22
10;electric ah ferociously;longboat yuck;once;NOTIFICATION;2025-12-16T02:43:00;2025-12-15T12:43:24;geez;lazily than;2025-12-16T06:50:36
