id;provider_name;description;api_key_text;api_secret_text;endpoint_text;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;whoa inasmuch reasoning;cook meager but;adaptation shimmering;frilly on shampoo;department terraform;2025-12-15T10:19:06;2025-12-16T05:39:45;barring;zowie times;2025-12-15T22:15:44
2;minion comestible whereas;altruistic yet;where machine;amongst huddle;descent stratify;2025-12-16T03:50:53;2025-12-15T15:20:48;communicate within up;imaginative for;2025-12-15T09:28:38
3;insert;confused;quizzically kit;yowza;yearly until gadzooks;2025-12-15T19:38:53;2025-12-15T21:06:52;but;exalt anxiously however;2025-12-15T12:01:38
4;once hurtful quarrelsomely;outside mid neglect;woot;deliberately redact;average throughout before;2025-12-15T10:35:45;2025-12-16T05:25:51;turret fuel;vivaciously that considering;2025-12-15T08:20:13
5;less;supposing;or;restfully;hovel unsightly over;2025-12-15T08:01:01;2025-12-15T07:28:31;till uh-huh bah;key even during;2025-12-15T11:39:07
6;even;splendid while likewise;private countess retrospectivity;during ick apud;pace;2025-12-15T22:23:35;2025-12-15T12:59:26;gah phew;jacket;2025-12-15T09:30:51
7;overproduce whine inasmuch;clamor;colorize compassionate over;even;shadowy;2025-12-16T04:41:26;2025-12-16T05:06:56;since interior;tuber caption;2025-12-16T01:14:38
8;questioningly than;a;cinema sundae aw;busy;given;2025-12-16T05:26:31;2025-12-15T17:32:09;gah likewise;humor correctly;2025-12-16T06:00:27
9;safely duh;till hurtful fooey;though;glorious;unbearably yuck hamburger;2025-12-16T06:01:32;2025-12-15T12:18:08;well-lit ravel through;drug micromanage popularity;2025-12-16T03:48:57
10;ill within excess;swath;sunbeam;solidly through entwine;giving until;2025-12-15T08:40:38;2025-12-16T04:51:50;opposite unto;gah selfishly;2025-12-15T18:26:15
